Source,Target,Type,ID,Label,Weight
46,44,Directed,235,,1
46,45,Directed,236,,1
46,76,Directed,237,,1
46,77,Directed,238,,1
47,48,Directed,239,,1
47,49,Directed,240,,4
47,158,Directed,241,,8
48,47,Directed,242,,1
48,50,Directed,243,,1
48,159,Directed,244,,9
49,10,Directed,245,,7
49,12,Directed,246,,2
49,14,Directed,247,,2
49,50,Directed,248,,1
49,158,Directed,249,,5
50,11,Directed,250,,8
50,15,Directed,251,,1
50,44,Directed,252,,1
50,49,Directed,253,,1
50,73,Directed,254,,1
50,159,Directed,255,,4
50,197,Directed,256,,1
51,17,Directed,257,,1
51,52,Directed,258,,1
51,53,Directed,259,,1
51,58,Directed,260,,1
51,59,Directed,261,,3
51,74,Directed,262,,1
51,166,Directed,263,,2
52,16,Directed,264,,1
52,19,Directed,265,,1
52,51,Directed,266,,1
52,54,Directed,267,,1
52,60,Directed,268,,1
52,75,Directed,269,,1
52,165,Directed,270,,1
52,167,Directed,271,,4
52,232,Directed,272,,1
53,54,Directed,273,,2
53,54,Directed,274,,5
53,56,Directed,275,,1
53,57,Directed,276,,1
53,64,Directed,277,,1
53,66,Directed,278,,2
53,110,Directed,279,,1
53,126,Directed,280,,1
53,126,Directed,281,,1
53,150,Directed,282,,2
53,150,Directed,283,,5
53,177,Directed,284,,3
53,204,Directed,285,,4
53,233,Directed,286,,1
53,236,Directed,287,,1
53,237,Directed,288,,3
54,53,Directed,289,,5
54,53,Directed,290,,1
54,55,Directed,291,,1
54,57,Directed,292,,1
54,58,Directed,293,,2
54,59,Directed,294,,2
54,60,Directed,295,,2
54,126,Directed,296,,1
54,127,Directed,297,,3
54,150,Directed,298,,5
54,150,Directed,299,,3
54,176,Directed,300,,2
54,177,Directed,301,,1
54,204,Directed,302,,1
54,205,Directed,303,,1
54,205,Directed,304,,3
54,234,Directed,305,,1
54,235,Directed,306,,1
55,53,Directed,307,,6
55,54,Directed,308,,5
55,56,Directed,309,,1
55,56,Directed,310,,3
55,57,Directed,311,,1
55,58,Directed,312,,2
55,59,Directed,313,,1
55,60,Directed,314,,2
55,70,Directed,315,,1
55,166,Directed,316,,1
55,167,Directed,317,,1
55,215,Directed,318,,1
56,53,Directed,319,,5
56,54,Directed,320,,5
56,55,Directed,321,,3
56,55,Directed,322,,1
56,166,Directed,323,,1
56,167,Directed,324,,1
56,215,Directed,325,,1
57,53,Directed,326,,1
57,54,Directed,327,,2
57,110,Directed,328,,1
57,126,Directed,329,,1
57,204,Directed,330,,1
57,205,Directed,331,,1
58,6,Directed,332,,1
58,53,Directed,333,,3
58,54,Directed,334,,1
58,55,Directed,335,,1
58,57,Directed,336,,2
58,66,Directed,337,,2
58,126,Directed,338,,2
58,204,Directed,339,,1
58,205,Directed,340,,3
59,53,Directed,341,,2
59,54,Directed,342,,4
59,60,Directed,343,,1
59,150,Directed,344,,1
59,161,Directed,345,,1
59,176,Directed,346,,2
59,177,Directed,347,,3
59,189,Directed,348,,1
59,193,Directed,349,,1
59,204,Directed,350,,6
59,205,Directed,351,,7
59,237,Directed,352,,5
60,53,Directed,353,,2
60,54,Directed,354,,16
60,58,Directed,355,,1
60,59,Directed,356,,1
60,176,Directed,357,,3
60,177,Directed,358,,2
60,188,Directed,359,,1
60,189,Directed,360,,1
60,193,Directed,361,,1
60,204,Directed,362,,2
60,205,Directed,363,,3
60,237,Directed,364,,1
63,54,Directed,365,,1
63,55,Directed,366,,1
63,56,Directed,367,,2
63,58,Directed,368,,1
63,59,Directed,369,,1
63,60,Directed,370,,1
63,66,Directed,371,,1
63,70,Directed,372,,1
63,157,Directed,373,,1
63,159,Directed,374,,1
63,161,Directed,375,,1
63,171,Directed,376,,1
64,5,Directed,377,,3
64,55,Directed,378,,1
64,56,Directed,379,,1
64,57,Directed,380,,1
64,65,Directed,381,,1
64,65,Directed,382,,1
64,66,Directed,383,,2
64,75,Directed,384,,1
64,157,Directed,385,,2
64,158,Directed,386,,1
64,159,Directed,387,,2
64,177,Directed,388,,1
64,180,Directed,389,,3
64,218,Directed,390,,1
64,220,Directed,391,,2
65,6,Directed,392,,1
65,7,Directed,393,,2
65,55,Directed,394,,2
65,56,Directed,395,,1
65,58,Directed,396,,1
65,64,Directed,397,,1
65,64,Directed,398,,1
65,67,Directed,399,,4
65,180,Directed,400,,1
65,217,Directed,401,,1
66,53,Directed,402,,2
66,54,Directed,403,,1
66,55,Directed,404,,1
66,56,Directed,405,,4
66,57,Directed,406,,1
66,58,Directed,407,,2
66,59,Directed,408,,1
66,64,Directed,409,,2
66,67,Directed,410,,4
66,150,Directed,411,,2
66,150,Directed,412,,3
66,181,Directed,413,,1
66,181,Directed,414,,1
67,53,Directed,415,,1
67,54,Directed,416,,1
67,55,Directed,417,,1
67,56,Directed,418,,1
67,57,Directed,419,,1
67,58,Directed,420,,1
67,60,Directed,421,,1
67,66,Directed,422,,4
67,66,Directed,423,,1
67,150,Directed,424,,1
67,159,Directed,425,,1
67,205,Directed,426,,1
68,55,Directed,427,,1
68,59,Directed,428,,2
68,60,Directed,429,,1
68,69,Directed,430,,2
68,157,Directed,431,,1
68,161,Directed,432,,2
68,168,Directed,433,,1
68,176,Directed,434,,2
68,177,Directed,435,,1
68,201,Directed,436,,1
68,212,Directed,437,,1
68,217,Directed,438,,1
68,218,Directed,439,,1
68,220,Directed,440,,1
68,222,Directed,441,,1
69,68,Directed,442,,2
69,158,Directed,443,,1
69,168,Directed,444,,1
69,174,Directed,445,,1
69,176,Directed,446,,2
69,177,Directed,447,,2
69,187,Directed,448,,1
69,194,Directed,449,,1
69,217,Directed,450,,1
69,217,Directed,451,,1
69,218,Directed,452,,2
69,220,Directed,453,,1
69,221,Directed,454,,1
69,222,Directed,455,,2
70,59,Directed,456,,1
70,108,Directed,457,,1
70,157,Directed,458,,1
70,162,Directed,459,,1
70,204,Directed,460,,1
70,205,Directed,461,,4
72,8,Directed,462,,1
72,10,Directed,463,,1
72,18,Directed,464,,1
72,39,Directed,465,,4
72,41,Directed,466,,1
72,73,Directed,467,,1
72,74,Directed,468,,1
73,5,Directed,469,,3
73,9,Directed,470,,1
73,11,Directed,471,,1
73,19,Directed,472,,2
73,39,Directed,473,,1
73,40,Directed,474,,2
73,52,Directed,475,,1
73,72,Directed,476,,1
73,75,Directed,477,,1
73,174,Directed,478,,1
73,180,Directed,479,,2
74,4,Directed,480,,1
74,13,Directed,481,,1
74,51,Directed,482,,1
74,55,Directed,483,,1
74,75,Directed,484,,1
74,217,Directed,485,,1
75,5,Directed,486,,1
75,42,Directed,487,,1
75,44,Directed,488,,2
75,52,Directed,489,,1
75,56,Directed,490,,2
75,74,Directed,491,,1
75,165,Directed,492,,1
75,168,Directed,493,,1
